Time (s),Ux,Uy,Uz,k,omega,p
831,0.000236346136457,1.00404556179e-05,0.00031794516941,0.000113459660388,3.46727764202e-06,0.0041977267498
832,0.000233681763394,9.94339820993e-06,0.000315364676448,0.000112628009642,3.4402352093e-06,0.00414811255956
833,0.000230999329438,9.84634448034e-06,0.000312578633416,0.000111797549965,3.41532456714e-06,0.0040951598841
834,0.00022815439255,9.74402462679e-06,0.000309485612264,0.00011096242784,3.39479793237e-06,0.00403737470703
835,0.000225567595287,9.65023180291e-06,0.000306784455483,0.000110114084167,3.37451985315e-06,0.0039826927193
836,0.000222887739917,9.55451304274e-06,0.000304143675703,0.000109255196179,3.35677751737e-06,0.00393976097361
837,0.000220781782721,9.46737136881e-06,0.000301980971827,0.00010840047493,3.33734749205e-06,0.00390367841083
838,0.000218685901889,9.38067518029e-06,0.000299960889932,0.000107537978803,3.31886369931e-06,0.00387401728844
839,0.000216795265565,9.30623988217e-06,0.000298148999684,0.000106683618201,3.29869155471e-06,0.00383413479047
840,0.000214847263066,9.23124841382e-06,0.00029636857829,0.000105842784739,3.27973221754e-06,0.00379887325531
841,0.000213109730906,9.16350434831e-06,0.000294827397096,0.00010500154977,3.26154063411e-06,0.00376121423412
842,0.000211368181478,9.09776509132e-06,0.000293076140866,0.000104165267061,3.24495387968e-06,0.0037206000804
843,0.000209950894899,9.03879480723e-06,0.000291581244575,0.000103342420797,3.22857104951e-06,0.00368991281449
844,0.000208518496154,8.98562417935e-06,0.00029032942447,0.000102530218696,3.21081636051e-06,0.00366913273925
845,0.000207109356621,8.93370116241e-06,0.000289408468642,0.000101738413515,3.19137834711e-06,0.00365609538813
846,0.000205431512853,8.88519549194e-06,0.000288186586373,0.000100956053642,3.17509474838e-06,0.00364047774897
847,0.000203881768356,8.83580772628e-06,0.00028712730689,0.000100180401177,3.15764323545e-06,0.00360446824778
848,0.000202619309551,8.77785900956e-06,0.000286230659147,9.94133648715e-05,3.13731843124e-06,0.00357263574112
849,0.000201512966333,8.717898894e-06,0.000285426754448,9.8657233012e-05,3.11978265326e-06,0.00355531731005
850,0.000200435219041,8.65751983977e-06,0.000284628833511,9.79120425905e-05,3.10168132369e-06,0.00354113986675
851,0.000199281422095,8.60563170602e-06,0.000283907375171,9.71677698224e-05,3.07996262424e-06,0.00352754100604
852,0.000198005178742,8.54901553636e-06,0.000283012010778,9.64384432619e-05,3.05722555322e-06,0.00351957119058
